-0.9,1.8,-0.81,0.2
0.2,-1.1,1.29,-1.63
2.2,0.6,0.41,0.07
-0.5,2.7,-1.56,1.56
-1.7,1.8,-0.61,0.75
0.1,0,1.02,-1.83
1.3,0.2,0.41,0
-0.4,1.8,-1.36,1.56
-2.1,2.5,-0.47,1.08
0.7,-0.4,1.36,-1.29
2.3,0.6,-0.2,-0.95
0.3,2.1,-1.36,1.9
-1.4,3.8,-0.88,-0.07
-0.2,0.9,1.49,-0.68
2,0.2,-0.34,-0.2
-0.2,2.6,-1.22,1.36
-0.9,3.3,-0.75,0.14
0.2,-0.3,1.22,-0.75
1,0,0.47,-0.81
-0.6,1.6,-1.22,1.49
-1.6,2.7,-1.02,1.02
-0.8,0.3,1.36,-1.29
1.8,0.5,1.15,-0.2
0.3,2.3,-1.22,1.63
-1.2,1.5,-0.61,0.95
0.6,1.7,1.29,-1.22
1.3,-1.2,0.61,-0.2
0.1,3,-1.08,1.36
-1.3,2.6,-1.08,0.68
0,-0.1,1.49,-0.54
1.1,-0.7,0.2,-0.54
-0.3,3,-1.02,1.63
-1.3,3.1,-1.08,1.08
0.4,0.8,1.02,-0.81
1.7,1.1,0.41,-0.81
-0.2,0.5,-1.08,1.29
-0.6,1.3,-0.88,0.88
0.2,-0.3,0.68,-0.54
0.9,0.4,0.88,-0.41
0.4,1.6,-1.42,1.02
-1.8,2.3,-0.61,0.68
0,0.2,0.47,-1.08
0.1,-0.1,0.88,-0.07
0.2,0.8,-1.08,1.08
-0.8,2.7,-0.95,1.08
-0.3,0,1.22,-0.47
0.6,0,0.41,-0.81
0.3,0.9,-0.81,0.68
-0.7,3.8,-1.15,0.27
-0.1,1.1,1.36,0.07
0.8,0.4,0.41,-0.54
-0.1,1.4,-0.75,1.63
-0.7,2.6,-1.08,0.41
-0.3,0.2,0.54,-0.07
1,-0.1,1.15,-0.14
0,2.4,-0.95,0.95
-1.1,1.9,-0.75,1.15
-0.8,0.6,0.27,-0.34
0.6,0.5,1.29,0.27
0.1,0.4,-1.08,0.68
-0.8,1.8,-0.81,1.29
-0.1,0.6,0.47,-0.61
1.7,-1.4,1.02,-0.34
0.3,-1.5,-0.75,1.15
-1.6,2.2,-0.68,1.02
0.4,0.6,1.08,-0.41
1.2,0.4,0.61,-0.47
0.3,2,0,0.88
-0.9,1.9,-1.29,0.88
-0.4,-0.5,0.54,-0.2
1.1,1.3,1.02,-0.81
-0.3,0.4,-0.61,0.34
-0.9,2,-0.95,0.95
-0.7,0.6,-0.2,-0.95
0.3,0.1,1.29,-0.54
0.7,-0.1,-0.81,0.54
-0.5,2.5,-0.81,1.15
-0.3,0.3,0.14,-0.14
1,-1,1.22,-0.61
0,1.8,-0.81,0.07
-1.5,2.5,-0.47,1.08
0.2,0,-0.2,-0.34
0.1,-0.3,0.68,-0.34
0.9,0.8,-0.47,0.68
-1.2,1.1,-0.81,0.95
-0.3,1.9,0.47,-0.47
0.9,0.3,0.41,-0.47
0.5,1.5,-0.81,0.68
-0.5,2.5,-0.68,0.95
-0.5,0.7,-0.14,-0.07
0.4,0.6,0.61,-0.68
-0.1,1.3,-0.95,0.54
-0.4,3,-0.75,1.15
-0.8,1.5,-0.07,-0.2
1,0.9,1.15,-0.54
1,-0.1,-0.68,-0.2
-1.3,0.5,-0.81,1.08
-0.9,1.7,-0.47,-0.34
0.4,-0.5,1.08,-0.47
0.9,0.6,-0.81,-0.07
-0.5,2.8,-1.02,1.29
-0.2,2,-0.2,-0.41
-0.2,-0.3,0.88,-0.34
0.8,1,-0.61,0.34
-0.8,0.8,-1.08,0.75
0,0,0.14,0.07
0.5,1.1,0.54,-0.81
0.1,-0.3,-0.2,0.07
-0.2,2.1,-0.95,1.42
-0.5,0.1,-0.47,-0.41
1.1,0.7,1.02,-0.68
0.4,-0.3,0,-0.61
-0.7,0.4,-0.75,1.02
-0.9,-0.1,-0.68,-0.07
1.1,0.5,1.22,-0.47
0.5,1,-0.34,-0.2
-0.4,1.5,-0.34,0.81
-0.4,2,-0.47,-0.07
0.7,-0.3,0.54,-0.34
0.5,1.5,-0.2,-0.07
-0.4,1.3,-0.88,0.41
-0.5,1.1,-0.34,-0.2
-0.7,-0.2,0.47,-0.81
0.3,1,-0.47,0.27
-0.1,2.2,-0.47,0.68
-0.2,2.1,-0.47,-0.2
0.2,0,0.54,-0.2
0.2,0.1,-0.61,0.2
0.1,2.3,-0.68,1.08
-1,0.5,-0.61,-0.14
-0.1,1.1,0.54,-0.47
0.4,1.1,-0.34,-0.81
-0.5,2,-0.68,1.42
-0.1,1.5,-0.27,0.14
0,0.1,1.02,-0.54
0.4,1,-0.47,0.47
-0.4,1.6,-0.75,0.81
-0.5,1.7,-0.61,0.27
-0.4,1.5,0.34,-0.61
0.3,-0.3,-0.54,-0.54
-0.6,3.2,-1.08,0.41
-0.8,0.8,-0.47,-0.07
0.2,-0.2,0.47,-0.68
0.2,1.5,-0.47,-0.61
0.1,0.5,-0.75,0.68
-0.1,0.6,-0.61,0.14
0.7,0.7,0.54,-0.34
0.7,0.9,-0.54,-0.07
-0.8,2,-0.95,0.88
-1.5,1.1,-0.81,-0.27
0.5,-0.9,0.54,-0.81
0.7,-0.6,-0.14,-0.95
-0.8,2.3,-0.68,0.34
-0.7,1.6,-0.81,0.07
0.1,0.3,0.41,-0.07
0.8,0.4,-0.47,0.54
-0.7,1.4,-0.75,0.47
-0.8,0.7,-0.61,-0.07
0.2,-0.7,0.27,-0.68
-0.1,-0.4,-0.34,-0.81
-0.4,0.9,-0.2,1.02
-0.8,1.2,-0.61,-0.07
0,-1.7,0.27,-0.41
0.5,0.4,0,-0.14
0.4,1.9,-0.68,0.68
-0.3,0.5,-0.81,-0.47
-0.6,0.1,0.47,-0.61
1.3,1.5,-0.2,-0.34
0.2,0.3,-1.02,1.15
-0.7,-0.4,-0.47,-0.2
0.2,1.3,0.47,-0.27
-0.3,-0.4,-0.61,-0.95
0.4,1.4,-0.61,0.68
-0.6,1.7,-0.34,-0.07
0.1,-1.4,0.27,-0.81
0,2.5,-0.34,-0.68
-0.4,-0.3,-0.61,0.54
-0.1,2,-0.14,0.07
0.1,1.7,0.07,-0.95
0.4,2.3,-0.34,-0.75
0.1,2.8,-0.61,0.54
-0.8,2.6,-0.75,-0.07
0.4,1,0.2,-0.34
0.3,-0.8,0,-0.34
0,2.2,-0.95,0.27
-0.3,1.5,-0.75,-0.14
0.1,0.2,0.27,-0.34
0.2,-1.1,-0.14,-0.95
-0.4,0.8,-0.95,0.27
-0.5,0.7,-0.34,-0.2
-0.1,1.2,0.27,-0.41
1,0.4,0.14,-0.34
0,0.4,-0.88,0.68
-0.1,2.3,-0.61,0.07
-0.5,-0.9,0.14,-0.81
-0.2,0.4,-0.34,-0.81
-0.5,1.5,-0.61,0.54
-0.7,0.6,-0.68,-0.34
-0.1,0.7,0.47,-0.68
1.1,1.4,0.14,-0.81
0.1,0.6,-0.47,0.68
-0.3,2,-0.27,0.68
0.7,2.3,0.27,-0.61
0.7,0.8,-0.54,-0.07
0.1,0.8,-0.34,0.2
-0.6,1,-0.54,-0.47
0.3,1.6,0.2,-0.68
0.3,2.3,-0.34,-0.07
-0.3,0.4,-0.75,0.41
-0.7,0.3,-0.75,0.34
-0.4,1.8,0.14,-0.41
0.3,1.1,0.14,-0.34
